nome_fantasia,slug,inicio_atividades,porte_empresa,nome_cidade,sigla_uf,populacao_cidade,latitude_cidade,longitude_cidade,dist_1,dist_2,dist_3,dist_4
CONDOMINIO DO EDIFICIO ERIKA,condominio-do-edificio-erika,03/07/1987,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO AUGUSTUS,condominio-edificio-augustus,27/11/1985,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO AGENOR SOUZA,condominio-edificio-agenor-souza,05/04/2010,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO CHACARA SANTA MARIA,condominio-edificio-chacara-santa-maria,29/03/2012,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO ALTO DA ENSEADA,condominio-edificio-alto-da-enseada,18/07/2000,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO ETTORE WEBER,condominio-edificio-ettore-weber,28/02/2008,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO JOSE FREITAS,condominio-edificio-jose-freitas,17/06/2011,5,Itabuna,BA,214123,-14.7876,-39.2781,254KM,282KM,219KM,169KM
CONDOMINIO EDIFICIO MANSAO DUQUE DE WINDSOR,condominio-edificio-mansao-duque-de-windsor,25/01/2001,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO EMPRESARIAL SAGARANA,condominio-edificio-empresarial-sagarana,27/02/2008,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO MANSAO VIENA,condominio-edificio-mansao-viena,15/05/1997,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO MARQUES DE BARBACENA,condominio-edificio-marques-de-barbacena,27/03/1972,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO DANUBIO AZUL,condominio-edificio-danubio-azul,07/04/2011,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO MOZART,condominio-edificio-mozart,06/09/2000,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO MAYSE,condominio-edificio-mayse,28/12/1992,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO MONICA,condominio-edificio-monica,06/10/1976,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO OGUM,condominio-edificio-ogum,24/04/2004,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO PARA,condominio-edificio-para,05/11/1974,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO PENTAGONO,condominio-edificio-pentagono,19/01/1987,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO RESIDENCIAL VILLA DI NAPOLI,condominio-edificio-residencial-villa-di-napoli,22/06/2004,5,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
CONDOMINIO EDIFICIO SAGRADO CORACAO,condominio-edificio-sagrado-coracao,22/12/2011,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO RESIDENCIAL CAROLINA CAVALCANTE,condominio-edificio-residencial-carolina-cavalcante,24/03/2006,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO ESQUINA VIP,condominio-esquina-vip,11/03/2003,5,Lauro de Freitas,BA,204669,-12.8978,-38.321,22KM,99KM,21KM,348KM
CONDOMINIO EDIFICIO SOLAR DO MORRO,condominio-edificio-solar-do-morro,06/04/1993,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO RESIDENCIAL SAINT GERMAIN,condominio-edificio-residencial-saint-germain,05/05/2000,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EVENTUS EMPRESARIAL,condominio-eventus-empresarial,25/07/2005,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO EDIFICIO VERA CRUZ,condominio-edificio-vera-cruz,12/02/1993,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO ILHOTA VILLAGE I,condominio-ilhota-village-i,12/11/1986,5,Vera Cruz,BA,44185,-12.9568,-38.6153,42KM,86KM,12KM,320KM
CONDOMINIO IMBUI MULTIPLUS RESIDENCE,condominio-imbui-multiplus-residence,27/08/2004,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO IBERIA,condominio-iberia,13/03/2008,5,Vitória da Conquista,BA,343643,-14.8615,-40.8442,364KM,353KM,330KM,0KM
CONDOMINIO JARDIM DAS DUNAS,condominio-jardim-das-dunas,09/07/2007,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO ENSEADA DO PONTAL,condominio-enseada-do-pontal,29/10/2008,5,Ilhéus,BA,157639,-14.793,-39.046,246KM,281KM,211KM,193KM
CONDOMINIO ILHA DE BOIPEBA,condominio-ilha-de-boipeba,27/04/2009,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO ITAIPAVA,condominio-itaipava,04/06/1990,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO JESSICA ANDREA,condominio-jessica-andrea,05/10/2005,5,Porto Seguro,BA,152529,-16.4435,-39.0643,424KM,465KM,391KM,260KM
CONDOMINIO JOAO VITOR GUIMARAES,condominio-joao-vitor-guimaraes,26/09/2003,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO LOTUS RESIDENCE,condominio-lotus-residence,31/08/2010,5,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
CONDOMINIO KATY,condominio-katy,05/08/1996,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO MAR DE PATAMARES,condominio-mar-de-patamares,29/12/2011,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO LUAR DOS BANDEIRANTES,condominio-luar-dos-bandeirantes,10/02/2012,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO MANSAO JENNER AUGUSTO,condominio-mansao-jenner-augusto,06/01/2010,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO MANSAO IBIZA,condominio-mansao-ibiza,21/11/1989,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO MEDITERRANEO,condominio-mediterraneo,04/05/2010,5,Jequié,BA,156277,-13.8509,-40.0877,230KM,214KM,198KM,139KM
CONDOMINIO MARES DE ALAH,condominio-mares-de-alah,05/11/2003,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO MIRANTE,condominio-mirante,27/07/2006,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO MIRANTE DE JAUA,condominio-mirante-de-jaua,09/10/2003,5,Camaçari,BA,309208,-12.6996,-38.3263,0KM,85KM,36KM,362KM
CONDOMINIO JUST PARADAISE LTDA,condominio-just-paradaise-ltda,18/08/2004,5,Uruçuca,BA,20312,-14.5963,-39.2851,235KM,261KM,200KM,170KM
CONDOMINIO MARQUES CARAVELAS,condominio-marques-caravelas,22/01/2002,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO MONT SERRAT I,condominio-mont-serrat-i,20/01/2012,5,Teixeira de Freitas,BA,164290,-17.5399,-39.74,560KM,592KM,525KM,321KM
CONDOMINIO MONTE BELLO,condominio-monte-bello,01/10/1998,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO PALAZZO POSITANO,condominio-palazzo-positano,12/04/2011,5,Salvador,BA,2900319,-12.9718,-38.5011,36KM,93KM,0KM,328KM
CONDOMINIO PARQUE CAJUEIRO,condominio-parque-cajueiro,27/05/2002,5,Feira de Santana,BA,624107,-12.2664,-38.9663,84KM,0KM,93KM,352KM
CONDOMINIO PARQUE DAS PALMEIRAS,condominio-parque-das-palmeiras,03/06/2014,3,Ipirá,BA,59281,-12.1561,-39.7359,164KM,85KM,162KM,324KM
CONDOMINIO PLATINA,condominio-platina,15/10/2009,5,Jequié,BA,156277,-13.8509,-40.0877,230KM,214KM,198KM,139KM
